"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110LI160401","OTS","VxOTS","LI160401.PV","AI","ะด","",""
"FCS0092","VF","2110LI160501","OTS","VxOTS","LI160501.PV","AI","ะด","",""
"FCS0092","VF","2110LI160901","OTS","VxOTS","LI160901.PV","AI","ะด","",""
"FCS0092","VF","2110LI170101","OTS","VxOTS","LI170101.PV","AI","ะด","",""
"FCS0092","VF","2110LI170102","OTS","VxOTS","LI170102.PV","AI","ะด","",""
"FCS0092","VF","2110LI170201","OTS","VxOTS","LI170201.PV","AI","ะด","",""
"FCS0092","VF","2110LI170401","OTS","VxOTS","LI170401.PV","AI","ะด","",""
"FCS0092","VF","2110LI170402","OTS","VxOTS","LI170402.PV","AI","ะด","",""
"FCS0092","VF","2110LI170403","OTS","VxOTS","LI170403.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1105A01","OTS","VxOTS","LIP1105A01.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1105A02","OTS","VxOTS","LIP1105A02.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1105B01","OTS","VxOTS","LIP1105B01.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1105B02","OTS","VxOTS","LIP1105B02.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1601","OTS","VxOTS","LIP1601.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1603","OTS","VxOTS","LIP1603.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1702A","OTS","VxOTS","LIP1702A.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1702B","OTS","VxOTS","LIP1702B.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1703A","OTS","VxOTS","LIP1703A.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1703B","OTS","VxOTS","LIP1703B.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1704A","OTS","VxOTS","LIP1704A.PV","AI","ะด","",""
"FCS0092","VF","2110LIP1704B","OTS","VxOTS","LIP1704B.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110406","OTS","VxOTS","PDI110406.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110407","OTS","VxOTS","PDI110407.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110501","OTS","VxOTS","PDI110501.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110502","OTS","VxOTS","PDI110502.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110601","OTS","VxOTS","PDI110601.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110602","OTS","VxOTS","PDI110602.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110701","OTS","VxOTS","PDI110701.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110702","OTS","VxOTS","PDI110702.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110801","OTS","VxOTS","PDI110801.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110802","OTS","VxOTS","PDI110802.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110901","OTS","VxOTS","PDI110901.PV","AI","ะด","",""
"FCS0092","VF","2110PDI110902","OTS","VxOTS","PDI110902.PV","AI","ะด","",""
"FCS0092","VF","2110PDI111202","OTS","VxOTS","PDI111202.PV","AI","ะด","",""
"FCS0092","VF","2110PDI111301","OTS","VxOTS","PDI111301.PV","AI","ะด","",""
"FCS0092","VF","2110PDI111501","OTS","VxOTS","PDI111501.PV","AI","ะด","",""
"FCS0092","VF","2110PI110101","OTS","VxOTS","PI110101.PV","AI","ะด","",""
"FCS0092","VF","2110PI110102","OTS","VxOTS","PI110102.PV","AI","ะด","",""
"FCS0092","VF","2110PI110104","OTS","VxOTS","PI110104.PV","AI","ะด","",""
"FCS0092","VF","2110PI110201","OTS","VxOTS","PI110201.PV","AI","ะด","",""
"FCS0092","VF","2110PI110301","OTS","VxOTS","PI110301.PV","AI","ะด","",""
